Item,Name,ID,Price,Brand,Category,Position
Luvas de segurança,Luva de Borracha Nitrílica G Forrada - Ref.7085100003 - VONDER,905886.0,28.9,VONDER,EPI > LUVAS DE PROTEÇÃO,1.0
Luvas de segurança,Luva de Nitril Forrada GG Verde - 012173712 - CARBOGRAFITE,33981.0,25.9,CARBOGRAFITE,EPI > LUVAS DE PROTEÇÃO,2.0
Luvas de segurança,Luva de Borracha Nitrílica M Forrada - Ref.7085100002 - VONDER,905885.0,28.9,VONDER,EPI > LUVAS DE PROTEÇÃO,3.0
Luvas de segurança,Luva de Borracha Nitrílica XG Forrada - Ref.7085100004 - VONDER,905887.0,26.9,VONDER,EPI > LUVAS DE PROTEÇÃO,4.0
Luvas de segurança,Luva Soldável PVC de Correr 25mm - Ref.22170260 - TIGRE,43404.0,15.69,TIGRE,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,5.0
Luvas de segurança,Colete de Segurança Refletivo Vermelho CARBOGRAFITE / REF. 012169812,31714.0,29.9,CARBOGRAFITE,SINALIZAÇÃO > OUTROS MATERIAS DE SINALIZAÇÃO,6.0
Luvas de segurança,Trava de Segurança Aço 80cm Moto - Ref.91433 - SILVANA ,55794.0,85.9,SILVANA,"FERRAGENS > PARAFUSOS, PORCAS E BUCHAS",7.0
Luvas de segurança,Luva de Esgoto Simples PVC 200mm - Ref. 0720 - KRONA,894752.0,17.99,KRONA,CONEXÕES > CONEXÕES PARA ESGOTO,8.0
Luvas de segurança,Luva de Esgoto Simples PVC 200mm - Ref. 26302005 - TIGRE,78604.0,58.89,TIGRE,CONEXÕES > CONEXÕES PARA ESGOTO,9.0
Luvas de segurança,Luva de Redução PVC 40x32mm Soldável - Ref. 0452 - KRONA,894715.0,3.6,KRONA,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,10.0
Luvas de segurança,Luva de Transição Aquatherm 28X1 Branco TIGRE / REF. 100021057,981900.0,23.69,TIGRE,CONEXÕES > CONEXÕES PARA ÁGUA QUENTE,11.0
Luvas de segurança,Luva de Redução PVC 25x20mm Soldável - Ref. 0450 - KRONA,49680.0,1.25,KRONA,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,12.0
Luvas de segurança,Luva de Malha Mista 10cm Branco VONDER / REF. 7020000002,54986.0,37.9,VONDER,EPI > LUVAS DE PROTEÇÃO,13.0
Luvas de segurança,Luva de Malha de Uso Geral 4 Fios Mesclada - Ref.7025000002 - VONDER,63819.0,11.9,VONDER,EPI > LUVAS DE PROTEÇÃO,14.0
Luvas de segurança,Escudo de Segurança Solda VD620 Preto VONDER / REF. 7074000620,876941.0,28.9,VONDER,EPI > OUTROS EPIS,15.0
Luvas de segurança,Luva de Transição CPVC 35mmx1.1/4 Polegadas Aquatherm - Ref.100021064 - TIGRE,977701.0,99.9,TIGRE,CONEXÕES > CONEXÕES PARA ÁGUA QUENTE,16.0
Luvas de segurança,Luva de Latéx Scotch-Brite Multiuso Pequena Amarela - Ref.XA006502307 - 3M,912257.0,25.9,3M,EPI > LUVAS DE PROTEÇÃO,17.0
Luvas de segurança,Luva de Redução Soldável em PVC 25x20mm FORTLEV / REF. 10412529,995306.0,1.4,FORTLEV,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,18.0
Luvas de segurança,Luva de Malha para Uso Geral Branco CARBOGRAFITE / REF. 012172712,33987.0,6.9,CARBOGRAFITE,EPI > LUVAS DE PROTEÇÃO,19.0
Luvas de segurança,Luva de Correr Roscável PVC 1 Polegada - Ref. 20122730 - TIGRE,44289.0,51.9,TIGRE,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,20.0
Luvas de segurança,Luva Mista 10cm De Vaqueta e Lona - Ref. 012172912 - CARBOGRAFITE,33989.0,47.9,CARBOGRAFITE,EPI > LUVAS DE PROTEÇÃO,21.0
Luvas de segurança,Luva Soldável PVC com Bucha de Latão 32x1 - Ref.35267867 - TIGRE,53905.0,21.99,TIGRE,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,22.0
Luvas de segurança,Luva de Redução Soldável em PVC 32x25mm FORTLEV / REF. 10413229,995307.0,3.7,FORTLEV,CONEXÕES > CONEXÕES PARA ÁGUA FRIA,23.0
Luvas de segurança,Luva de Esgoto de Correr PVC 75mm Serie R - Ref. 26751985 - TIGRE,44291.0,16.69,TIGRE,CONEXÕES > CONEXÕES PARA ESGOTO,24.0
Capacete,Capacete Pvc Para Proteção Evoluttion Verde - Ref. 010358910 - CARBOGRAFITE,99666.0,45.9,CARBOGRAFITE,EPI > CAPACETES DE SEGURANÇA,1.0
Capacete,Capacete Pvc Aba Frontal + Carneira Azul - Ref.7090000130 - VONDER,951213.0,15.9,VONDER,EPI > CAPACETES DE SEGURANÇA,2.0
Capacete,Capacete Pvc Aba Frontal + Carneira Amarelo - Ref.7090000010 - VONDER,951211.0,18.9,VONDER,EPI > CAPACETES DE SEGURANÇA,3.0
Capacete,Capacete Pvc Para Proteção Evoluttion Vermelho - Ref. 010358610 - CARBOGRAFITE,99664.0,59.9,CARBOGRAFITE,EPI > CAPACETES DE SEGURANÇA,4.0
Capacete,Capacete Pvc Aba Frontal + Carneira Cinza - Ref.7090000310 - VONDER,951218.0,18.9,VONDER,EPI > CAPACETES DE SEGURANÇA,5.0
Capacete,Capacete de Proteção em PVC PLT com Carneira Verde Escuro PLASTCOR / REF. 700.00473,890170.0,6.9,PLASTCOR,EPI > CAPACETES DE SEGURANÇA,6.0
Capacete,Capacete Pvc Aba Frontal + Carneira Laranja - Ref.7090000510 - VONDER,951219.0,23.9,VONDER,EPI > CAPACETES DE SEGURANÇA,7.0
Capacete,Capacete Pvc Aba Frontal + Carneira Branco - Ref.7090000210 - VONDER,951216.0,13.9,VONDER,EPI > CAPACETES DE SEGURANÇA,8.0
Capacete,Capacete Pvc Aba Frontal + Carneira Marrom - Ref.7090000610 - VONDER,951238.0,22.9,VONDER,EPI > CAPACETES DE SEGURANÇA,9.0
Capacete,Capacete Pvc Aba Frontal + Carneira Verde - Ref.7090000830 - VONDER,951240.0,22.9,VONDER,EPI > CAPACETES DE SEGURANÇA,10.0
Capacete,Capacete Pvc Aba Frontal + Carneira Vermelho - Ref.7090000910 - VONDER,951241.0,22.9,VONDER,EPI > CAPACETES DE SEGURANÇA,11.0
Óculos de proteção,Óculos Proteção Ampla Visão - Ref.7041050000 - VONDER,54959.0,28.9,VONDER,EPI > ÓCULOS DE PROTEÇÃO,1.0
Óculos de proteção,Óculos Policarbonato Proteção Foxter Incolor - Ref.7055110000 - VONDER,66428.0,15.9,VONDER,EPI > ÓCULOS DE PROTEÇÃO,2.0
Óculos de proteção,Óculos de Proteção Ampla Visão Incolor CARBOGRAFITE / REF. 12130712,31630.0,28.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,3.0
Óculos de proteção,Óculos em Policarbonato de Proteção para Sobreposição Incolor - Ref.HB004296487 - 3M,912435.0,43.9,3M,EPI > ÓCULOS DE PROTEÇÃO,4.0
Óculos de proteção,Óculos em Pvc de Proteção Ampla Visão Perfurado - Ref.10075910 - CARBOGRAFITE,958181.0,25.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,5.0
Óculos de proteção,Óculos de Policarbonato de Proteção Vision 3000 Fumê - Ref. HB004003115 - 3M,89717.0,22.9,3M,EPI > ÓCULOS DE PROTEÇÃO,6.0
Óculos de proteção,Óculos em Policarbonato de Proteção Vision 3000 Incolor - Ref. HB004003107 - 3M,89715.0,29.9,3M,EPI > ÓCULOS DE PROTEÇÃO,7.0
Óculos de proteção,Óculos de Policarbonato para Proteção Antiembaçante Cayman Cinza - Ref. 012298812 - CARBOGRAFITE,89895.0,45.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,8.0
Óculos de proteção,Óculos de Policarbonato 2000 Espectra Verde - Ref. 012228612 - CARBOGRAFITE,286510.0,10.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,9.0
Óculos de proteção,Óculos de Policarbonato 2000 Espectra Incolor- Ref. 012228512 - CARBOGRAFITE,31633.0,12.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,10.0
Óculos de proteção,Óculos Policarbonato 2000 Espectra Âmbar CARBOGRAFITE / REF. 12228712,286511.0,13.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,11.0
Óculos de proteção,Óculos Policarbonato 2000 Espectra Cinza CARBOGRAFITE / REF. 12228812,15089.0,18.9,CARBOGRAFITE,EPI > ÓCULOS DE PROTEÇÃO,12.0
Óculos de proteção,Proteção Sol & Chuva Resina Impermeabilizante Cor Telha Cerâmica 18L CORAL / REF. 5716806,979461.0,489.9,CORAL,COMPLEMENTOS > RESINAS,13.0
Óculos de proteção,Joelheira de Plástico/Borracha para Proteção de Impacto - Ref. 012332212 - CARBOGRAFITE,896698.0,99.9,CARBOGRAFITE,EPI > ACESSÓRIOS PARA EPIS,14.0
Óculos de proteção,Joelheira de Tecido/Plástico para Proteção CG01 - Ref. 012214712 - CARBOGRAFITE,896697.0,90.9,CARBOGRAFITE,EPI > ACESSÓRIOS PARA EPIS,15.0
Óculos de proteção,Lente Retangular de Vidro para Proteção 51x108mm Incolor - Ref. 012251212 - CARBOGRAFITE,31650.0,1.9,CARBOGRAFITE,EPI > ACESSÓRIOS PARA EPIS,16.0
Óculos de proteção,Caixa de Proteção Externa para Porteiro Eletrônico F8-S - Ref.90.02.01.234 - HDL,957961.0,39.9,HDL,ACESSÓRIOS DE TECNOLOGIA > CAIXAS DE PROTEÇAO,17.0
Óculos de proteção,Capacete de Proteção em PVC PLT com Carneira Verde Escuro PLASTCOR / REF. 700.00473,890170.0,6.9,PLASTCOR,EPI > CAPACETES DE SEGURANÇA,18.0
Óculos de proteção,Capacete Pvc Para Proteção Evoluttion Verde - Ref. 010358910 - CARBOGRAFITE,99666.0,45.9,CARBOGRAFITE,EPI > CAPACETES DE SEGURANÇA,19.0
Óculos de proteção,Capacete Pvc Para Proteção Evoluttion Vermelho - Ref. 010358610 - CARBOGRAFITE,99664.0,59.9,CARBOGRAFITE,EPI > CAPACETES DE SEGURANÇA,20.0
Óculos de proteção,Protetor Facial PVC Dupla Proteção 25x33cm - Ref. 100295 - DEPET,953946.0,0.99,DEPET,EPI > OUTROS EPIS,21.0
Óculos de proteção,Malha Fibra de Vidro 10cmx15m Proteção Venda Por Metro ELETROFITAS / REF. TFV-100/15 ,923127.0,129.9,ELETROFITAS,"CABOS, FIOS E CONECTORES > CABOS E FIOS",22.0
Óculos de proteção,Tela de Proteção em Metal 35x13cm para Alimento Revestida com Plástico Preto LYOR / REF. 2526,991439.0,21.9,LYOR,COZINHA > PREPARAR E SERVIR,23.0
Óculos de proteção,Tela de Proteção em Metal 35x13cm para Alimento Revestida com Plástico Branco LYOR / REF. 2527,991440.0,21.9,LYOR,COZINHA > PREPARAR E SERVIR,24.0
Botas de segurança,Bota de Couro 39 Cadarço Café Nubuck - Ref.70032339 - MARLUVAS,943809.0,249.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,1.0
Botas de segurança,Bota de Couro 37 Cadarço Café Nubuck - Ref.70032337 - MARLUVAS,943790.0,225.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,2.0
Botas de segurança,Bota de Couro 38 Cadarço Café Nubuck - Ref.70032338 - MARLUVAS,943807.0,219.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,3.0
Botas de segurança,Bota de Couro 37 Cano Baixo Preto Nubuck - Ref.70045837 - MARLUVAS,943838.0,249.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,4.0
Botas de segurança,Colete de Segurança Refletivo Vermelho CARBOGRAFITE / REF. 012169812,31714.0,29.9,CARBOGRAFITE,SINALIZAÇÃO > OUTROS MATERIAS DE SINALIZAÇÃO,5.0
Botas de segurança,Trava de Segurança Aço 80cm Moto - Ref.91433 - SILVANA ,55794.0,85.9,SILVANA,"FERRAGENS > PARAFUSOS, PORCAS E BUCHAS",6.0
Botas de segurança,Bota Couro 43 Elástico com Biqueira de Plástico Preto Vulcaflex - Ref.70030243 - MARLUVAS,943651.0,106.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,7.0
Botas de segurança,Bota Couro 42 Elástico com Biqueira de Plástico Preto Vulcaflex Ref.70030242 - MARLUVAS,943650.0,106.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,8.0
Botas de segurança,Bota de Couro 39 com Elástico e Biqueira de Aço Vulcaflex Preta - Ref.70030339 - MARLUVAS,943659.0,90.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,9.0
Botas de segurança,Bota de Couro 45 com Elástico e Biqueira de Aço Vulcaflex Preta - Ref.70030345 - MARLUVAS,943777.0,101.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,10.0
Botas de segurança,Bota de Couro 38 com Elástico e Biqueira de Aço Vulcaflex Preta - Ref.70030338 - MARLUVAS,943658.0,116.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,11.0
Botas de segurança,Escudo de Segurança Solda VD620 Preto VONDER / REF. 7074000620,876941.0,28.9,VONDER,EPI > OUTROS EPIS,12.0
Botas de segurança,Bota de PVC sem Couro 39/40 Cano Médio Preta NOVE54 / REF. 7039003940,924565.0,59.9,NOVE54,EPI > BOTAS DE SEGURANÇA,13.0
Botas de segurança,Bota Couro 36 Elástico Biqueira de PVC Bidensidade Preta - Ref.446 - CABRITO DA FLORESTA,941707.0,25.9,CABRITOS DA FLORESTA,EPI > BOTAS DE SEGURANÇA,14.0
Botas de segurança,Placa PVC 30X20CM Monitoramento por Câmera de Segurança - Ref.250BN - SINALIZE,286106.0,19.9,SINALIZE,SINALIZAÇÃO > PLACAS,15.0
Botas de segurança,Câmera de Segurança Smart Wi-Fi VTV / REF. VTV-104,979586.0,419.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,16.0
Botas de segurança,Câmera de Segurança Pantilt IP AHD Wi-Fi - Ref.7898641420058 - VTV,960965.0,229.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,17.0
Botas de segurança,Câmera de Segurança Águia 80m Full HD 1080P -Ref.7898641421031 - VTV,960953.0,219.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,18.0
Botas de segurança,Trava de Segurança Zamac 11500SM Milano Cromado - Ref. 57018089 -  PADO,885804.0,242.9,PADO,FERRAGENS > ACESSÓRIOS PARA FERRAGENS,19.0
Botas de segurança,Bota Couro 42 Cano Baixo Preto Nubuck -  Ref.70045842  -  MARLUVAS ,943848.0,229.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,20.0
Botas de segurança,Bota Couro 37 com Bico Aço Preta - Ref.70030337 - MARLUVAS,943657.0,116.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,21.0
Botas de segurança,Bota Couro 37 com Bico Aço Preta - Ref.70030237 - MARLUVAS ,943644.0,99.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,22.0
Botas de segurança,Bota Couro 44 Cano Baixo Preto Nubuck -  Ref.70045844 -  MARLUVAS ,943854.0,249.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,23.0
Botas de segurança,Bota Couro 39 Cano Baixo Preto Nubuck -  Ref.70045839 -  MARLUVAS,943844.0,249.9,MARLUVAS,EPI > BOTAS DE SEGURANÇA,24.0
Cinto de segurança,Colete de Segurança Refletivo Vermelho CARBOGRAFITE / REF. 012169812,31714.0,29.9,CARBOGRAFITE,SINALIZAÇÃO > OUTROS MATERIAS DE SINALIZAÇÃO,1.0
Cinto de segurança,Trava de Segurança Aço 80cm Moto - Ref.91433 - SILVANA ,55794.0,85.9,SILVANA,"FERRAGENS > PARAFUSOS, PORCAS E BUCHAS",2.0
Cinto de segurança,Escudo de Segurança Solda VD620 Preto VONDER / REF. 7074000620,876941.0,28.9,VONDER,EPI > OUTROS EPIS,3.0
Cinto de segurança,Câmera de Segurança Smart Wi-Fi VTV / REF. VTV-104,979586.0,419.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,4.0
Cinto de segurança,Placa PVC 30X20CM Monitoramento por Câmera de Segurança - Ref.250BN - SINALIZE,286106.0,19.9,SINALIZE,SINALIZAÇÃO > PLACAS,5.0
Cinto de segurança,Câmera de Segurança Pantilt IP AHD Wi-Fi - Ref.7898641420058 - VTV,960965.0,229.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,6.0
Cinto de segurança,Câmera de Segurança Águia 80m Full HD 1080P -Ref.7898641421031 - VTV,960953.0,219.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,7.0
Cinto de segurança,Trava de Segurança Zamac 11500SM Milano Cromado - Ref. 57018089 -  PADO,885804.0,242.9,PADO,FERRAGENS > ACESSÓRIOS PARA FERRAGENS,8.0
Cinto de segurança,Barra de Segurança em Alumínio Sanitário U 90x80x22cm Cromado - Ref.23754 - SICMOL,953150.0,429.9,SICMOL,ACESSÓRIOS SANITÁRIOS > ACESSIBILIDADE E SEGURANÇA,9.0
Cinto de segurança,Câmera de Segurança Espiã 360 Graus Wi-Fi VTV / REF. 7898641420904,960973.0,219.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,10.0
Cinto de segurança,Barra de Segurança em Alumínio Lavatório L 62x22x48cm Cromado - Ref.23755 - SICMOL,953151.0,129.9,SICMOL,ACESSÓRIOS SANITÁRIOS > ACESSIBILIDADE E SEGURANÇA,11.0
Cinto de segurança,Fechadura Tetra de Segurança Espelhada Roseta Colonial 1004 Ezl - Ref. 10988 - STAM,880159.0,69.0,STAM,FECHADURAS > FECHADURAS EXTERNAS,12.0
Cinto de segurança,Câmera de Segurança Sentinela FULL HD IP 1080P com Wi-Fi  - Ref.7898641420058 - VTV,960972.0,649.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,13.0
Cinto de segurança,Fechadura Segurança Espelho Roseta 1009 Tetra Branco - Ref.10960 - STAM,948054.0,45.9,STAM,FECHADURAS > FECHADURAS EXTERNAS,14.0
Cinto de segurança,Fechadura Tetra Segurança Roseta 1002 Inox - Ref. 12874 - STAM,880199.0,79.9,STAM,FECHADURAS > FECHADURAS EXTERNAS,15.0
Cinto de segurança,Válvula de Segurança para Fogão GLP/GN 1/2 NPT  Interno  JACKWAL / REF. 8165,896995.0,59.9,JACKWAL,FERRAGENS > REGULADORES DE GÁS E SEUS ACESSÓRIOS,16.0
Cinto de segurança,Válvula de Segurança para Fogão GLP/GN 1/2 NPT  Externo JACKWAL / REF. 6570,896994.0,56.9,JACKWAL,FERRAGENS > REGULADORES DE GÁS E SEUS ACESSÓRIOS,17.0
Cinto de segurança,Fechadura Externa Segurança Alavanca Roseta Quadrado Preto - Ref. 40991 - STAM,950489.0,115.9,STAM,FECHADURAS > FECHADURAS EXTERNAS,18.0
Cinto de segurança,Fechadura Externa Segurança Alavanca Roseta Redondo Preto - Ref. 40992 - STAM,950486.0,109.9,STAM,FECHADURAS > FECHADURAS EXTERNAS,19.0
Cinto de segurança,Câmera de Segurança Bullet 20 Metros Full HD 1070P WIFI Branco VTV/ REF. VTV-037 ,989800.0,459.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,20.0
Cinto de segurança,Câmera de Segurança Bullet 20 Metros Full HD 1070P WIFI Branco VTV/ REF. VTV-036 ,989794.0,429.9,VTV,SEGURANÇA > CÂMERAS DE SEGURANÇA,21.0
Cinto de segurança,"Tinta Acrílica Fosca Pinta Piso 3,6L Vermelho Segurança CORAL/ REF. 5207147",892234.0,108.9,CORAL,TINTAS ACRÍLICAS > ACRÍLICAS STANDARD,22.0
Cinto de segurança,Fechadura Tetra Segurança com Chave 4000 Auxiliar Cromada SILVANA / REF. 96872,286954.0,99.9,SILVANA,FECHADURAS > FECHADURAS EXTERNAS,23.0
Cinto de segurança,Tinta Acrílica Fosca Pinta Piso 18L Vermelho Segurança CORAL/ REF. 5207663,892235.0,389.9,CORAL,TINTAS ACRÍLICAS > ACRÍLICAS STANDARD,24.0
Escora metálica,Papeleira Metálica Flex Cromada DECA / REF. 2020.C.FLX,67317.0,189.9,DECA,ACESSÓRIOS SANITÁRIOS > ACESSÓRIOS AVULSOS,1.0
Escora metálica,Bateria 3V Moeda Litio Cr2032 Metalica - Ref.306659 - Duracell,961231.0,21.9,DURACELL,ACESSÓRIOS DE TECNOLOGIA > BATERIAS E PILHAS,2.0
Escora metálica,Tinta Spray Metálica 400ml Vermelho CHEMICOLOR / REF. 0680103,898506.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,3.0
Escora metálica,Bateria 3V Moeda Litio Cr2016 Metalica - Ref.303704 - Duracell,961225.0,11.9,DURACELL,ACESSÓRIOS DE TECNOLOGIA > BATERIAS E PILHAS,4.0
Escora metálica,Tinta Spray Metálica 400ml Preto CHEMICOLOR / REF. 0680104,900825.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,5.0
Escora metálica,Tinta Spray Metálica 400ml Cobre CHEMICOLOR / REF. 680106,898501.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,6.0
Escora metálica,Tinta Spray Metálica 400ml Cromado CHEMICOLOR / REF. 0680099,898502.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,7.0
Escora metálica,Almotolia Metálica Extensão Flexível 250ml VONDER / REF. 3623128000,52143.0,39.9,VONDER,"LIMPEZA E MANUTENÇÃO AUTOMOTIVAS > LUBRIFICANTES, ÓLEO E ADITIVOS (GRAXAS)",8.0
Escora metálica,Tinta Spray Metálica 400ml Azul CHEMICOLOR / REF. 0680100,898500.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,9.0
Escora metálica,Tinta Spray Metálica 400ml Verde CHEMICOLOR / REF. 0680101,898505.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,10.0
Escora metálica,Tinta Spray Metálica 400ml Ouro CHEMICOLOR / REF. 680105,905135.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,11.0
Escora metálica,Tinta Spray Metálica 400ml Dourado CHEMICOLOR / REF. 0680199,898503.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,12.0
Escora metálica,Bateria 3V Moeda Litio Cr2032 Cart Metalica - Ref.306660 - Duracell,961232.0,8.9,DURACELL,ACESSÓRIOS DE TECNOLOGIA > BATERIAS E PILHAS,13.0
Escora metálica,Tinta Spray Metálica 400ml Ouro Clássico CHEMICOLOR / REF. 0680187,898504.0,25.9,CHEMICOLOR,TINTAS > TINTAS SPRAY,14.0
Escora metálica,Torneira Metálica de Mesa para Cozinha Pinna 1167 SIGMA / REF. 40580810 ,948557.0,159.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE PLÁSTICO,15.0
Escora metálica,Torneira Metálica de Parede para Cozinha Pinna 1168 SIGMA / REF. 40580710 ,948551.0,154.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE METAL,16.0
Escora metálica,Torneira Metálica de Mesa para Lavatório Lucca 1198 SIGMA / REF. 40490110 ,897176.0,232.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE METAL,17.0
Escora metálica,Torneira Metálica de Parede para Cozinha Turim 1168 SIGMA / REF. 40460710 ,880076.0,124.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE METAL,18.0
Escora metálica,Boia Latão 1/2 Caixa D Água Haste Metálica - Ref.100002305 - TIGRE,900745.0,54.79,TIGRE,ACESSÓRIOS HIDRÁULICOS > ACESSÓRIOS HIDRÁULICOS DE USO GERAL,19.0
Escora metálica,Torneira Metálica de Mesa para Cozinha Turim 1167 SIGMA / REF. 40460810,880079.0,138.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE METAL,20.0
Escora metálica,Torneira Metálica para Máquina de Lavar C23 1131 SIGMA / REF. 40231510,902941.0,127.9,SIGMA,TORNEIRAS E MISTURADORES > TORNEIRAS DE METAL,21.0
Escora metálica,Balde de Plástico 12 Litros Reforçado com Alça Metálica DIMAX / REF. 3971038,996007.0,15.9,DIMAX BR,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,22.0
Escora metálica,Pazinha Estreita Metálica para Jardinagem com Cabo de Madeira TRAMONTINA / REF. 77908/001,32039.0,9.9,TRAMONTINA,ACESSÓRIOS DE JARDINAGEM > ACESSÓRIOS PARA JARDINAGEM DE USO GERAL,23.0
Escora metálica,Pazinha Larga Metálica para Jardinagem com Cabo de Madeira TRAMONTINA / REF. 77907/001,38297.0,15.9,TRAMONTINA,ACESSÓRIOS DE JARDINAGEM > ACESSÓRIOS PARA JARDINAGEM DE USO GERAL,24.0
Prumo,Prumo De Aço Para Parede Com Corda De Nylon 700g MOMFORT / REF. 608075,55526.0,55.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,1.0
Prumo,"Prumo de Aço com Calço de Madeira e Cordão Nylon 1kg 2,5m TRAMONTINA / REF. 43182001",888398.0,121.9,TRAMONTINA,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,2.0
Prumo,Prumo Aço/Latonado Parede 500g - Ref. 648055 - MOMFORT ,875451.0,47.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,3.0
Prumo,Prumo Aço/Latonado Parede 700g - Ref. 648075 - MOMFORT ,875452.0,54.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,4.0
Prumo,Prumo Aço/Latonado Parede 400g - Ref. 648050 - MOMFORT ,875450.0,41.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,5.0
Prumo,Prumo Aço Parede 400g - Ref. 608050 - MOMFORT ,55504.0,39.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,6.0
Prumo,Prumo em Aço 750g com Calço de Madeira e Cordão Nylon 2m - Ref.43182/000 - TRAMONTINA,963069.0,83.9,TRAMONTINA,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,7.0
Prumo,Prumo Aço/Latonado Parede 1000g - Ref. 648100 - MOMFORT ,885370.0,73.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,8.0
Prumo,Prumo em Aço 400g de Parede DIMAX / REF. 8055538,996140.0,26.9,DIMAX BR,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,9.0
Prumo,Prumo em Aço 500g de Parede DIMAX / REF. 8155538,996141.0,29.9,DIMAX BR,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,10.0
Prumo,Prumo em Aço 700g de Parede DIMAX / REF. 8255538,996142.0,33.9,DIMAX BR,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,11.0
Prumo,Prumo Aço Parede 500g - Ref. 608055 - MOMFORT ,75686.0,37.9,MOMFORT,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,12.0
Prumo,Prumo de Centro e Calço em Aço e Cordão de Nylon 410g TRAMONTINA / REF. 43181/501,888722.0,51.9,TRAMONTINA,ACESSÓRIOS PARA FERRAMENTAS > ACESSÓRIOS PARA FERRAMENTAS DE USO GERAL,13.0
